title,listed_in,description,rating
Romantik Komedi 2: Bekarlığa Veda,"Comedies, International Movies, Romantic Movies","Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party.",TV-MA
The One,"British TV Shows, Crime TV Shows, International TV Shows","Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",TV-MA
YES DAY,"Children & Family Movies, Comedies",A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,PG
You're Everything To Me,"Comedies, Dramas, Independent Movies","When an old fling shows up with their infant child, a dallying man-child must take on the role of father and create a fairytale world for his daughter.",TV-PG
Coven of Sisters,"Dramas, Independent Movies, International Movies","Basque Country, 1609. To postpone their execution, a group of women accused of witchcraft lure their inquisitor into witnessing the witches' Sabbath.",TV-MA
Generasi 90an: Melankolia,"Dramas, International Movies","After the devastating loss of a loved one, Abby forms a bond with his sister's best friend as he struggles to move on.",TV-14
The Block Island Sound,"Horror Movies, Independent Movies","On an island, a fisherman's family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger.",TV-MA
Dealer,"Crime TV Shows, International TV Shows, TV Action & Adventure",Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,TV-MA
Last Chance U: Basketball,Docuseries,“Last Chance U” hits the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,TV-MA
Marriage or Mortgage,"Reality TV, Romantic TV Shows",A wedding planner and a real estate agent compete to win the hearts and budgets of spouses-to-be. Will they pick fairy-tale nuptials or a dream home?,TV-G
The Houseboat,"Docuseries, International TV Shows","With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space.",TV-14
Bombay Begums,"International TV Shows, TV Dramas","From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",TV-MA
Bombay Rose,"Dramas, Independent Movies, International Movies","Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested.",PG-13
My Way,"International TV Shows, TV Dramas","In the 1970s, an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices.",TV-14
Aelay,"Comedies, Dramas, Independent Movies","A son stoically returns to his village upon his father’s death, recalling their chilly dynamic before a bizarre event disrupts his visit.",TV-14
City of Ghosts,Kids' TV,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",TV-Y7
Dogwashers,"Comedies, Dramas, International Movies","When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?",TV-MA
Fate of Alakada,"Comedies, International Movies","Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash.",TV-14
Nevenka: Breaking the Silence,"Docuseries, International TV Shows, Spanish-Language TV Shows","Nevenka Fernández, the plaintiff in Spain's first successful lawsuit against a politician for sexual harassment, breaks her silence after 20 years.",TV-MA
Pokémon Journeys: The Series,"Anime Series, Kids' TV, TV Action & Adventure","Young trainer Ash and his new friend Goh become research fellows at Professor Cerise's laboratory, traveling all over the world to learn about Pokémon.",TV-Y7
Sentinelle,"Action & Adventure, Dramas, International Movies","Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",TV-MA
Mariposa,"Comedies, International Movies, Romantic Movies","New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure.",TV-14
Pacific Rim: The Black,Anime Series,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.",TV-14
Parker,Action & Adventure,"Parker is a thief – but he has scruples. So when his crew double-crosses him, Parker teams up with an unlikely partner to even the score.",R
Safe Haven,"Dramas, Romantic Movies","When a mysterious woman arrives in a small North Carolina town, she begins a new life but remains haunted by a terrifying secret.",PG-13
Moxie,"Comedies, Dramas, Music & Musicals","Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",PG-13
Murder Among the Mormons,"Crime TV Shows, Docuseries",High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,TV-14
Black or White,Dramas,A widowed lawyer struggles to retain custody of his biracial granddaughter when the girl's paternal grandmother questions his competence.,PG-13
Indoo Ki Jawani,"Action & Adventure, Comedies, International Movies","A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.",TV-14
Word Party,Kids' TV,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!",TV-Y
A Perfect Day For Arsenide,"Classic & Cult TV, Crime TV Shows, International TV Shows","An eclectic group of people encounters zany situations in this anthology of surreal, offbeat tales from Hong Kong. Based on Mr. Pizza's hit novel.",TV-MA
Banyuki,"Action & Adventure, Dramas, International Movies","In this stage performance filmed for the big screen, an innocent man seeks revenge after breaking free of the prison he was held in for ten years.",TV-PG
Biggie: I Got a Story to Tell,"Documentaries, Music & Musicals","Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king.",R
Blanche Gardin: The All-Nighter,Stand-Up Comedy,"With self-deprecating humor, French comic Blanche Gardin offers stream-of-consciousness observations on environmentalism, gender relations and herself.",TV-MA
Connected,"Documentaries, International Movies, Music & Musicals","Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón.",TV-G
Dances with Wolves,"Action & Adventure, Classic Movies, Dramas","On the frontier, a Civil War soldier bonds with a Sioux tribe and adapts to their way of life, becoming their ally amid growing threats.",PG-13
How to Be Really Bad,"Comedies, International Movies","The devil's sassy (and bored) daughter makes a deal with her dad: If she can turn a good person evil, she gets to ditch hell and stay on Earth.",TV-14
LEGO Marvel Spider-Man: Vexed by Venom,"Children & Family Movies, Comedies","When Green Goblin and Venom team up for a disastrous scheme, Spider-Man calls in a wall-crawling ally and must rely on his Spidey senses to stop them.",TV-Y
Rain Man,"Classic Movies, Dramas","Motivated by money, a selfish workaholic seeking a piece of his late father's inheritance takes a life-changing road trip with his estranged brother.",R
Seven Souls in the Skull Castle 2011,"Action & Adventure, Dramas, International Movies","In this cinematic distillation of the electrifying stage performance, seven spirited souls take on the dark threat growing in shadowy Skull Castle.",TV-14
Tenacious D in The Pick of Destiny,"Comedies, Cult Movies, Music & Musicals","Dreaming of being a rock god, Midwesterner JB heads to California, where he crosses paths with idler KG – giving rise to the musical duo Tenacious D.",R
TIGER & BUNNY,"Anime Series, International TV Shows","In an alternate New York City protected by a band of superheroes called NEXT, veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr.",TV-14
Bigfoot Family,"Children & Family Movies, Comedies","Bigfoot’s now a big deal. So when he goes missing, his shy but tech-savvy teen son must take on an evil CEO to save his family and a wildlife preserve.",TV-Y7
